"nlm","nlms"
"receptor for advanced glycation endproducts","receptor for advanced glycation endproduct"
"receptor for advanced glycation endproducts","receptor for advance glycation endproduct"
"receptor for advanced glycation endproducts","receptors for advanced glycation endproduct"
"kepler scientific workflow systems","kepler scientific workflow system"
"erythrocyte membranes","erythrocyte membrane"
"erythrocyte membranes","erythrocytes membrane"
"gambling","gambl"
"humans embryonic stem cell","human embryonic stem cell"
"humans embryonic stem cell","human embryonic stem cells"
"video record","video records"
"video record","video recording"
"context sensitive languages","contexts sensitive language"
"context sensitive languages","context sensitive language"
"limbic systems","limbic system"
"lbsn","lbsns"
"coumarin","coumarins"
"cephalosporin","cephalosporins"
"imus","imu"
"abductive logic programmer","abductive logic programme"
"abductive logic programmer","abductive logic programm"
"morphometric analysis","morphometrics analysi"
"adhesive","adhesives"
"protein domains","protein domain"
"protein domains","proteins domain"
"image scale","image scaling"
"uncertainty principles","uncertainty principle"
"path expressions","path expression"
"subject indexing","subject index"
"chaos control","chaos controls"
"propensity score matching","propensity score match"
"thin clients","thin client"
"business object","business objects"
"business object","business object"
"information system success model","information systems success models"
"information system success model","informational systems success model"
"information system success model","information systems success model"
"alternating decision trees","alternating decision tree"
"open grid service architecture","open grid services architectures"
"open grid service architecture","open grid services architecture"
"local area networks","local area network"
"syringe","syringes"
"human connectome project","human connectome projects"
"natural languages generation","natural language generation"
"euler methods","euler method"
"essential tremor","essentially tremor"
"direction find","directional find"
"direction find","direction finding"
"separation of concern","separation of concerns"
"altmetric","altmetrics"
"modules","modulation"
"modules","module"
"polyvinyl chlorides","polyvinyls chloride"
"polyvinyl chlorides","polyvinyl chloride"
"business requirements","business requirement"
"maximal information coefficient","maximal informational coefficient"
"heart function","heart functional"
"heart function","heart functions"
"electronics health record","electron health record"
"electronics health record","electronic health record"
"electronics health record","electronic health records"
"socialization","social"
"honns","honn"
"clique problem","clique problems"
"probabilistic neural network","probabilistic neural networks"
"recycl","recycling"
"tft","tfts"
"facial paralysis","facial paralysi"
"models selection","model selection"
"hearing aids","hearing aid"
"cc","ccs"
"gradients descent","gradient descent"
"book review","book reviews"
"book review","books review"
"multiple kernel learning","multiple kernels learn"
"multiple kernel learning","multiple kernel learn"
"semiconductor industry","semiconductors industry"
"intrusion detection systems","intrusion detection system"
"intrusion detection systems","intrusions detection system"
"expectation maximization algorithmic","expectation maximization algorithm"
"expectation maximization algorithmic","expectation maximization algorithms"
"epstein barr virus infections","epstein barr virus infection"
"medical informatics","medical informatic"
"dependent typed","dependent types"
"dependent typed","dependent type"
"secure multi party computation","secure multi party computation"
"secure multi party computation","secure multi party computational"
"polyvinyls chloride","polyvinyl chloride"
"user analysis","user analysi"
"user analysis","users analysi"
"mytilu","mytilus"
"gastrointestinal stromal tumor","gastrointestinal stromal tumors"
"computation biology","computational biology"
"systems time","system times"
"systems time","system time"
"collectins","collectin"
"finite states machine","finite state machine"
"finite states machine","finite state machines"
"speeded up robust feature","speeded up robust features"
"est","ests"
"oid","oids"
"e e government","e e governance"
"keyword advertis","keywords advertis"
"service oriented architecture","services oriented architecture"
"service oriented architecture","service oriented architectures"
"hash function","hash functional"
"hash function","hash functions"
"tissue microarrays","tissue microarray"
"coded rate","code rate"
"lectures note","lecture note"
"lectures note","lecture notes"
"radial basis function kernels","radial basis functions kernel"
"radial basis function kernels","radial basis function kernel"
"radial basis function kernels","radial basis functional kernel"
"cvs","cv"
"prebiotic","prebiotics"
"motor learning","motor learn"
"fixed point theorem","fixed points theorem"
"theory of computation","theory of comput"
"theory of computation","theory of computing"
"theory of computation","theory of computational"
"electrical capacitance","electric capacitance"
"noisy channel models","noisy channel model"
"wake","wakefulness"
"wake","waking"
"user comput","user computing"
"user comput","users comput"
"semi structure data","semi structured data"
"semi structure data","semi structured data"
"plants disease","plant disease"
"reservoir sampling","reservoir sampl"
